author,content
"
出门太难
","


接到前女友发来的信息后，我激动得觉都睡不着了：我老公出了车 祸，送进医院了，看上去很严重！！为了抓住这个千载难逢的机会，我对她大献殷勤，百般讨好，就差告诉她，别怕，哥一直等着你呢……我发了几十条，前女友一条没回！我更兴奋了，以为某人肯定不在了，她正忙着料理后事，没空搭理我……今天中午，前女友终于回信息了：对不起啊！本来是发给我哥的，错发给你了！……你谁啊？我们认识么？？我的心一下子凉透了！卧槽！！白高兴了，害得我白白死 了好几十个脑细胞……

夜很长……心很凉！："
"
吃了两碗又盛
","


儿子要写一篇关于母爱的作文，就跟他妈妈说:这几天你要表现好点啊，不然我没有写作素材。我媳妇深以为然，积极地树立慈母形象，儿子过得跟土皇帝似的，也导致了作文迟迟没有完成。

骑着二哈啃黄瓜："
"
净心居士
","


认识胖丫后，我把烟给戒了。朋友们说我有意志力，但是你们不知道的是我每抽一根烟胖丫就抽我一巴掌。。。

穿着拖孩逛该："
"
王飞王飞王飞
","


小时候家里养过一只猫和一只狗，狗总是被猫欺负，不是狗憨厚，而是斗不过猫，比如猫藏在鞋盒偷袭狗 狗只能绕着鞋盒转圈，后来狗去世了，猫没看见它去世的样子，只是没见狗回来，半年过去了，有天我故意在门口喊了声狗的名字，猫从屋里飞奔到门口左右张望。

"
"
孤心傲月
","


女友无聊唱《好爸爸》她唱一句我答应一句唉，闹着闹着不知他爸什么站在我背后，她站起来喊了句爸，我答应了句唉才发现岳父的巴掌抽了过来！慌乱中我大喊：哥  哥我错了！还tm让我多加20万彩礼！这是什么情况啊？？？

骑着二哈啃黄瓜："
"
套着鸭子去戏水
","


儿子这段时间正为换牙而苦恼。侄女来家看到后对他说：弟弟，你那牙别傻乎乎的等它自己掉了。上次我们班两男同学打架，打掉了一颗牙，今天才知道，赔了一万多块呢！

骑着二哈啃黄瓜："
"
胖香
","


跟我妈讲了个笑话:“娃儿跟着视频上学习做双皮奶，把电饭煲上的蒸笼放在锅上蒸，塑料的啊，全化了，气的我都想揍她！”我妈:“孩子有这个兴趣，你得鼓励她，这次错了，下次她就不会再犯这样的错误了。”这么通情达理的妈妈去哪找，我痛快的承认其实做双皮奶的是我……呵呵，擀面杖都飞出来了！

骑着二哈啃黄瓜："
"
-小门神~
","


有只喜鹊上个月，在我家后院树上做窝。今早我怂恿侄子:喜鹊窝里应该有幼鸟了，你去抓来咱们养着，好吧？侄子说好，他连忙付诸行动！过了半天，他灰头土脸地回来，脸上青一块紫一块！我忙问怎么了，他答:我爬树上，刚要掏，从喜鹊窝里跳出来两只斑鸠！两只大斑鸠啄我脸，好疼好疼！叔叔，你说是喜鹊窝呀，怎么里面住的是斑鸠？我也不知道啊…[嘿嘿]

骑着二哈啃黄瓜："
"
骑着二哈啃黄瓜
","


昨天在早餐点，买了两份早餐，实际给了三份，付了两份的钱。今天早上又去这个早餐点，和老板说了这事，准备补钱给他。老板：如果昨天自己过错，今天还要别人买单，那还有明天什么事，你那么乖，就当福缘深厚受了吧。。。看着排队的长龙，我很惭愧：我这不挑人多的时候特定讲这个事贝者你会做 广 告不收我的钱!

穿着拖孩逛该："
"
五少爷的刀
","


今天未婚妻过来，看见我脸上的黑 眼 圈很心疼:别太累了，钱我们一起赚，彩 礼我让我爸别收了！！我:没事，只是连续加了三个晚上的班，今天不就休息了吗？！未婚妻说：一定要注意身体健康，劳逸结合，如果你累垮了，我将来怎么办啊？！看着未婚妻情真意切的眼神，我无地自容！！真特么愧疚，以后打农药坚决不熬夜了！！……

无书斋主："
